formula,error
CdMoO4-6,could not convert string to float: '4-6'
Fe2H16Mg3Na2O24Si8+14,+14 is an invalid formula!
CH2N2Pb+2,+2 is an invalid formula!
Cs3Sb+3,+3 is an invalid formula!
Ag2B4O12-10,could not convert string to float: '12-10'
C8H16O2Pb+2,+2 is an invalid formula!
Na2O2Pb+2,+2 is an invalid formula!
CrKO5Zn-,could not convert string to float: '-'
C8H15O2Pb+,+ is an invalid formula!
H2Li3N+2,+2 is an invalid formula!
C4H12Mg6O19+2,+2 is an invalid formula!
O3PZn+,+ is an invalid formula!
